GeneID	log2FoldChange	color	KO_number
CaT2T09g02576	1.184	#e29182	K02703, K20000
CaT2T10g00980	1.374	#e29182	K02703
CaT2T10g00985	1.648	#e29182	K02703, K03243
CaT2T10g00361	1.422	#e29182	K10666
CaT2T03g01297	-1.448	#76d3ee	K10523
CaT2T05g02891	-1.262	#76d3ee	K08200, K08202
CaT2T08g02606	-1.239	#76d3ee	K00873
CaT2T03g02475	-2.259	#56c9ea	K09286
CaT2T10g00359	-1.112	#76d3ee	K10666
CaT2T09g00420	-1.136	#76d3ee	K09419
CaT2T04g00810	-1.781	#76d3ee	K00826
CaT2T03g04406	-1.168	#76d3ee	K01303
CaT2T09g00670	-1.061	#76d3ee	K14638
CaT2T11g00562	-1.957	#76d3ee	K13448
CaT2T06g01125	-1.730	#76d3ee	K10523
CaT2T02g03497	-1.247	#76d3ee	K00512, K13260, K20623
CaT2T04g02566	-1.405	#76d3ee	K07437
CaT2T06g01573	-1.028	#76d3ee	K10418
CaT2T02g01813	-1.028	#76d3ee	K14492
CaT2T06g03499	-1.116	#76d3ee	K07198, K12761
CaT2T11g01885	-1.260	#76d3ee	K17469
CaT2T12g00037	-1.985	#76d3ee	K10256, K21704, K21710, K21736
CaT2T12g01553	-1.178	#76d3ee	K14794
CaT2T01g00828	-1.204	#76d3ee	K01177
CaT2T07g01947	-1.225	#76d3ee	K20716
